id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.coadvisor,dc.contributor.coadvisor[],dc.contributor.edition,dc.contributor[],dc.coverage.spatial[],dc.coverage.spatial[es_ES],dc.coverage.temporal[es_ES],dc.creator,dc.creator[],dc.date.embargoEnd[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_ES],dc.description.affiliation[],dc.description.affiliation[es_ES],dc.description.extra[es_ES],dc.description.peerreviewed[es_ES],dc.description.sponsorship[es_ES],dc.format[],dc.format[es_ES],dc.identifier.citation[],dc.identifier.citation[es_ES],dc.identifier.doi,dc.identifier.doi[],dc.identifier.isbn,dc.identifier.isbn[],dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[es_ES],dc.publisher[],dc.publisher[es_ES],dc.relation.dataset[es_ES],dc.relation.hasversion[],dc.relation.isbasedon[],dc.relation.isversionof[],dc.relation.projectid[es_ES],dc.relation.references[],dc.relation.references[es_ES],dc.rights.holder[es_ES],dc.rights.uri[*],dc.rights.use[*],dc.rights.use[es_ES],dc.rights[es_ES],dc.source[es_ES],dc.subject[],dc.subject[es_ES],dc.title.alternative[es_ES],dc.title[es_ES],dc.type.snrd[es_ES],dc.type.version[es_ES],dc.type[es_ES],dcterms.publisher[es_ES]
"965","20.500.12272/538",,,,,,,,,,"Villarreal, Pablo||Stroppi, Luis Jesús Ramón||Chiotti, Omar",,,"2014",,,"The globalization, modern markets, as well as new organizational management philosophies and advances in Information and Communications Technologies, encourage organizations to establish collaboration networks or interorganizational collaborations. In this paper we propose a technology solution based on software agents which allows supporting the management of collaborative business processes in environments dynamic inter-organizational collaborations.
First, we propose a software agent platform that integrates in agent specification's the notions of Belief-Desire-Intention agent architecture with functionalities of process-aware information systems. The platform enables organizations to negotiate collaborations agreements in electronic format to establish
dynamic inter-organizational collaborations and define the collaborative processes to be executed. Second, we propose a methodology that includes methods based on Model-Driven Development, which enable the generation of executable process models and the code of process-oriented agents, derived from conceptual models of collaborative processes. This methodology and methods are implemented and automated by software agents that enable the generations of these implementation artifacts, at run-time of the platform. Therefore, the platform enables the automatic generation of the technology solution that requires each organization to execute the agreed collaborative processes, where the generated artifacts are built and initialized in the platform, allowing the implementation and execution of these processes. In this way, the proposed agent-based platform allows to establish collaboration among heterogeneous and autonomous organizations focusing in the process-oriented integration.",,,,"Peer Reviewed",,"application/pdf",,,"CLEI Electronic Journal",,,,,,,"http://hdl.handle.net/20.500.12272/2131",,,"eng",,,,,,,"Gestión de Procesos de Negocio en Colaboraciones Inter-Organizacionales",,,"Pablo Villarreal","http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"BPEL4People, WS-HumanTask, Resource Perspective, Work ow.",,"Extending the WS-HumanTask Architecture to Support the Resource Perspective of BPEL Processes","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"966","20.500.12272/538",,,,,,,,,,"Villarreal, Pablo||Chiotti, Omar||Tello-Leal, Edgar",,,"2014",,,"The globalization, modern markets, as well as new organizational management philosophies and advances in Information and Communications Technologies, encourage organizations to establish collaboration networks or interorganizational collaborations. In this paper we propose a technology solution based on software agents which allows supporting the management of collaborative business processes in environments dynamic inter-organizational collaborations.
First, we propose a software agent platform that integrates in agent specification's the notions of Belief-Desire-Intention agent architecture with functionalities of process-aware information systems. The platform enables organizations to negotiate collaborations agreements in electronic format to establish
dynamic inter-organizational collaborations and define the collaborative processes to be executed. Second, we propose a methodology that includes methods based on Model-Driven Development, which enable the generation of executable process models and the code of process-oriented agents, derived from conceptual models of collaborative processes. This methodology and methods are implemented and automated by software agents that enable the generations of these implementation artifacts, at run-time of the platform. Therefore, the platform enables the automatic generation of the technology solution that requires each organization to execute the agreed collaborative processes, where the generated artifacts are built and initialized in the platform, allowing the implementation and execution of these processes. In this way, the proposed agent-based platform allows to establish collaboration among heterogeneous and autonomous organizations focusing in the process-oriented integration.",,,,"Peer Reviewed",,"application/pdf",,,"Latin America Transactions, IEEE",,,,,,,"http://hdl.handle.net/20.500.12272/2132",,"spa",,,,,,,,"Gestión de Procesos de Negocio en Colaboraciones Inter-Organizacionales",,,"Pablo Villarreal","http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"Software Agents, Dynamic Inter-Organizational Collaborations, Model-Driven Development, Collaborative Business Process.",,"Software Agents for Management Dynamic Inter-Organizational Collaborations","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"967","20.500.12272/538",,,,,,,,,,"Villarreal, Pablo||Chiotti, Omar||Tello-Leal, Edgar",,,"2014",,,"The globalization, modern markets, as well as new organizational management philosophies and advances in Information and Communications Technologies, encourage organizations to establish collaboration networks or interorganizational collaborations. In this paper we propose a technology solution based on software agents which allows supporting the management of collaborative business processes in environments dynamic inter-organizational collaborations.
First, we propose a software agent platform that integrates in agent specification's the notions of Belief-Desire-Intention agent architecture with functionalities of process-aware information systems. The platform enables organizations to negotiate collaborations agreements in electronic format to establish
dynamic inter-organizational collaborations and define the collaborative processes to be executed. Second, we propose a methodology that includes methods based on Model-Driven Development, which enable the generation of executable process models and the code of process-oriented agents, derived from conceptual models of collaborative processes. This methodology and methods are implemented and automated by software agents that enable the generations of these implementation artifacts, at run-time of the platform. Therefore, the platform enables the automatic generation of the technology solution that requires each organization to execute the agreed collaborative processes, where the generated artifacts are built and initialized in the platform, allowing the implementation and execution of these processes. In this way, the proposed agent-based platform allows to establish collaboration among heterogeneous and autonomous organizations focusing in the process-oriented integration.",,,,"Peer Reviewed",,"application/pdf",,,"Jurnal of Applied Research and Technology",,,,,,,"http://hdl.handle.net/20.500.12272/2133",,"eng",,,,,,,,"Gestión de Procesos de Negocio en Colaboraciones Inter-Organizacionales",,,"Pablo Villarreal","http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","A partir de su aprobación","info:eu-repo/semantics/openAccess",,,"Software Agents, Dynamic Inter-Organizational Collaborations, Model-Driven Development, Collaborative Business Process.",,"Software Agents Architecture for Managing Inter-Organizational Collaboration","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1803","20.500.12272/538",,,,,,,,,,,"Andrés, Federico||Beltramini, Loreley B.||Guilarducci, Anabela Guadalupe||Romano, Melisa||Ulibarrie, Nestor Oscar",,,"2015-04",,"In the production process for producing recycled pulp cellulose, there are waste generated by the raw material entering the
system. This residue is separated from the pulp by physical methods, and is mainly composed of plastics, paper, laminated papers
and other materials in smaller proportions.
In order to recycle this waste, in this paper we analyze the viability of use in the production of insulated panels.
With the untreated residue extracted from the plant, panels of 30 cm side and thickness of approximately 6 cm were made. On
these panels, parameters such as density and compression strength were evaluated for the study of the homogeneity of the
material obtained",,"Fil: FRSF- UTN",,"Peer Reviewed",,"application/pdf",,,,,"10.1016/j.mspro.2015.04.101",,,,,,"http://hdl.handle.net/20.500.12272/2890",,"eng",,,,,,,"“Utilización de residuos generados en la producción de packaging de pasta celulósica. Factibilidad de uso en materiales para construcción.”  Centro de Investigación y Desarrollo para la Construcción y la Vivienda (CECOVI), Universidad Tecnológica Nacional Facultad Regional Santa Fe. PID 25/O148 [2013-2014].",,"Zanuttini, M. Á. ed., 2012. Aspectos generales. En: RECICLADO CELULÓSICO. Santa Fe: s.n., pp. 1-24.||Spinacé, M. D. P. M., 2005. A tecnologia da reciclagem de polímeros.. Química nova, 1(28), pp. 65-72.||Pelegrini, M. G. P. I. V. J., 2005. Composição dos resíduos sólidos de uma empresa de reciclagem de papel.. Revista de estudos ambientais, 2(7),
p. 103–112.||M. Pelegrini, I. G. P. ,. J. V., 2010. Plates made with solid waste from the recycled paper industry. Waste Management 30 (2010) 268–273, Issue
30, pp. 268-273.||Luis Agulló, A. A. T. G., 2006. Study of the use of paper manufacturing waste in plaster composite mixtures. Building and Environment, Issue
41, pp. 821-827.||Ismail Demir, M. S. B. M. O., 2005. Utilization of kraft pulp production residues in clay brick production. Building and Environmen, Issue 40,
pp. 1533-1537.||CEPI, I. C. O. E. P., 2003. Discovering the high potential of Pulp and Paper Production Residues, Bruselas: CEPI.||Breslin, V. S. U. B. C., 1998. Long-term engineering properties of recycled plastic lumber used in pier construction.. Resources, Conservation
and Recycling, Issue 23, pp. 243-258.||Zanuttini, ed. RECICLADO CELULÓSICO. Santa Fe: s.n., pp. 264-303.||Area, M. C., Mastrantonio, G. & Velez, H., 2012. GESTIÓN AMBIENTAL EN LA FABRICACIÓN DE PAPEL RECICLADO. En: M. Á.||Àngels Pèlach, P. M. M., 2012. Proceso de desintegración o pulpeado. En: M. Á. Zanuttini, ed. RECICLADO CELULÓSICO. Santa Fe: s.n., pp.
33-72.||Agulló, L. A. A. G. T., 2006. Study of the use of paper manufacturing waste in plaster composite mixtures. Building and Environment, Issue 41,pp. 821-827.",,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","Autorizo la publicación con el debido tratamiento para su publicación, respetando licencia contraída  (MSPRO1273_Journal Publishing And Licensing Agreement.pdf) (MSPRO1273.html)
Journal: Procedia Materials Science
Our reference: MSPRO1273
PII: S2211-8128(15)00142-X
DOI: 10.1016/j.mspro.2015.04.141","info:eu-repo/semantics/openAccess",,,"Residuos||construcción||moldeada||cellulose industry",,"""Waste of modeled pulp industry. Filler panel production for construction""","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1804","20.500.12272/538",,,,,,,,,,,"Andrés, Federico||Beltramini, Loreley B.||Guilarducci, Anabela Guadalupe||Romano, Melisa||Ulibarrie, Nestor Oscar",,,"2015-04",,"From the analysis of the production process of molded pulp packaging, it can be seen that one of the residues generated in the
molding is ""pulp"". When this waste cannot be reincorporated into the production line, is recovered by centrifugation in the
effluent treatment system.
With the intention of recycling this residue it was investigated the feasibility of their use in the manufacture of concrete blocks or
panels lightened studying possible ways to use the material, either in the wet state (form is discharged from the process) or dry
(dried in a controlled environment), analyzing the advantages and disadvantages of each alternative.
For practical purposes, various dosages were proposed to maintain constant the amount of residue and varying the amounts and
proportions of water and cement. Test specimens were made with various amounts of cement per m³ of concrete.",,"Fil: UTN. FRSF",,"Peer Reviewed",,"application/pdf",,,,,"10.1016/j.mspro.2015.04.102",,,,,,"http://hdl.handle.net/20.500.12272/2891",,"eng||eng",,,,,,,"“Utilización de residuos generados en la producción de packaging de pasta celulósica. Factibilidad de uso en materiales para construcción.” / Centro de Investigación y Desarrollo para la Construcción y la Vivienda (CECOVI), Universidad Tecnológica Nacional Facultad Regional Santa Fe. PID 25/O148 [2013-2014].",,"Luis Agulló, A. A. T. G., 2006. Study of the use of paper manufacturing waste in plaster composite mixtures. Building and Environment, Issue
41, pp. 821-827.||Ismail Demir, M. S. B. M. O., 2005. Utilization of kraft pulp production residues in clay brick production. Building and Environmen, Issue 40,
pp. 1533-1537.||INTI-CIRSOC, 2005. Reglamento Argentino de Cargas Permanentes y Sobrecargas Mínimas de Diseño para Edificios y Otras Estructuras.
Buenos Aires: s.n.||F. Pruckner, O. G., 2004. Effect of CaCl2 and NaCl additions on concrete corrosivity. Cement and Concrete Research, Issue 34, pp. 1209-1217.||CEPI, I. C. O. E. P., 2003. Discovering the high potential of Pulp and Paper Production Residues, Bruselas: CEPI.||Caijun Shia, R. L. D., 2000. Pozzolanic reaction in the presence of chemical activators Part II. Reaction products and mechanism. Cement and
Concrete Research, Issue 30, pp. 607-613.||C.R. Cheeseman, S. A., 1999. Effect of calcium chloride on the hydration and leaching of lead-retarded cement. Cement and Concrete Research,
Issue 29, pp. 885-892.||Zanuttini, ed. RECICLADO CELULÓSICO. Santa Fe: s.n., pp. 264-303.||Area, M. C., Mastrantonio, G. & Velez, H., 2012. GESTIÓN AMBIENTAL EN LA FABRICACIÓN DE PAPEL RECICLADO. En: M. Á.||Àngels Pèlach, P. M. M., 2012. Proceso de desintegración o pulpeado. En: M. Á. Zanuttini, ed. RECICLADO CELULÓSICO. Santa Fe: s.n., pp.
33-72.",,"http://creativecommons.org/publicdomain/zero/1.0/","CC0 1.0 Universal","Autorizo la publicación de la obra:
A partir de su aprobación / presentación [X]
Autorizo la publicación con el debido tratamiento para su publicación, respetando licencia contraída y se adjunta (MSPRO1274_Journal Publishing And Licensing Agreement.pdf) (MSPRO1274.html)
Journal: Procedia Materials Science
Our reference: MSPRO1274
PII: S2211-8128(15)00143-1
DOI: 10.1016/j.mspro.2015.04.142","info:eu-repo/semantics/openAccess",,,"concrete||paper||recycling cellulose pulp||celulosa",,"Lightweight concrete: an alternative for recycling cellulose pulp","docunento de conferencia","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1992","20.500.12272/538",,,,,,,,,,,"Carignano, María Celeste||Gonnet, Silvio||Leone, Horacio",,,"2017",,"En la vida cotidiana, las personas utilizan su
experiencia para resolver las situaciones que se
presentan, recordando circunstancias similares y
adaptando las soluciones en función de las
características de cada problema particular. En el
contexto empresarial, estas prácticas también se llevan
a cabo. Muchas veces el conocimiento asociado a
ciertas experiencias se encuentra distribuido en las
aplicaciones existentes, por lo que solo es necesario
identificarlo y definir mecanismos apropiados para
poder recuperarlo y reutilizarlo.
Razonamiento Basado en Casos es un paradigma de
resolución de problemas que involucra el uso de
experiencias pasadas para comprender y resolver
nuevas situaciones. Se sustenta en la idea de que si una
experiencia pasada fue exitosa puede ser utilizada en el
presente, en su totalidad o como punto de partida, para
decidir o resolver una nueva situación similar. Su
principal hipótesis es que problemas similares tienen
soluciones similares.
En este trabajo, se presenta un framework cuyo
objetivo es facilitar la implementación de
Razonamiento Basado en Casos en aplicaciones
empresariales orientadas a objetos con el fin de poder
hacer uso de la experiencia y conocimiento adquirido
en el pasado para solucionar y resolver situaciones
actuales con calidad y consistencia",,"Fil: Carignano, María Celeste. Universidad Tecnológica Nacional. Facultad Regional Santa Fe. CONICET. Argentina.||Fil: Gonnet, Silvio. Universidad Tecnológica Nacional. Facultad Regional Santa Fe. CONICET. Argentina.||Fil: Leone, Horacio. Universidad Tecnológica Nacional. Facultad Regional Santa Fe.  INGAR. Argentina.",,"Peer Reviewed","Facultad Regional Santa Fe. Universidad Tecnológica Nacional. Código: UTI3804TC","application/pdf",,,"""Un Framework Extensible para la Integración de Razonamiento Basado en Casos con Aplicaciones Empresariales Orientadas a Objetos"". Congreso Nacional de Ingeniería Informática - Ingeniería en Sistemas de Información. 2017",,,,,,,,"http://hdl.handle.net/20.500.12272/3045",,"spa",,"CONAIISI",,,,,"""Un modelo de soporte de soporte a la evaluación de líneas de productos de software"". código: UTI3804TC",,"A. Aamodt, E. Plaza. Case-based reasoning:
Foundational issues, methodological variations, and
system approaches. AI Communications. IOS Press,
7(1):39–59, 1994||J. Kolodner. An introduction to case-based
reasoning. Artificial Intelligence Review, 6:3–34, 1992.||., Klaus-Dieter. A review of industrial case-based
reasoning tools. AI Intelligence, 1995.||R. López de Mántaras, E. Plaza. Case-based
reasoning: an overview. AI Communications. IOS Press,
10:21–29, 1997||A. Pla, B. López, P. Gay, C. Pous. eXiT*CBR.v2:
Distributed case-based reasoning tool for medical
prognosis. Decision Support Systems. Volume 54, Issue
3, February 2013, Pages 1499-1510.||M. C. Carignano, S. Gonnet, H. Leone. RADS: Una
herramienta para reutilizar estrategias en diseños de
arquitecturas de software. Simposio Argentino de
Ingeniería de Software, ASSE 2016 – 45 JAIIO Jornadas
Argentinas de Informática, Páginas: 147-158, 2016.
ISSN: 2451-7593.||V. Ayzenshtadt, C. Langenhan, S.S. Bukhari, K.D.
Althoff, F. Petzold, A. Dengel: Thinking with containers:
a multi-agent retrieval approach for the case-based
semantic search of architectural designs. In: Filipe, J.,
van den Herik, J. (eds.) 8th International Conference on
Agents and Artificial Intelligence (ICAART-2016), pp.
24–26. SCITEPRESS, Rome, February 2016||V. Ayzenshtadt, C. Langenhan, K.D. Althoff, S.S.
Bukhari, F. Petzold, A. Dengel, (2017). Extending the
Flexibility of Case-Based Design Support Tools: A Use
Case in the Architectural Domain. 10.1007/978-3-319-
61030-6_4||J. Recio-García, P. Gonzalez-Calero, B. Díaz-Agudo.
jCOLIBRI2: A framework for building Case-based
reasoning systems. Science of Computer Programming.
79. 126–145. 2014.||K. Bach, K. Althoff, Klaus-Dieter. Developing
Case-Based Reasoning Applications Using myCBR 3.
7466. 17-31. 2012.||FreeCBR, documentado y disponible en
http://freecbr.sourceforge.net/. Accedido en Octubre de
2017||AIAI CBR Shell. Documentado y disponible en
http://www.aiai.ed.ac.uk/project/cbr/CBRDistrib/.
Accedido en Octubre de 2017.||myCBR. Documentado y disponible en
http://www.mycbr-project.net/index.html. Accedido en
Octubre de 2017||I. Watson, F. Marir. Case-based reasoning: A
review. The Knowledge Engineering Review, 9(4):327–
354,||J. Kolodner. Case-based Reasoning. Morgan
Kaufmann Publishers Inc., San Francisco, CA, USA,
1993.||K. Bach, M. Minor, M. Reichle, (2008). Case-based
Reasoning Introduction and Recent Developments.||P. ElKafrawy, R.A. Mohamed. Comparative Study
Of Case Based Reasoning Software. International Journal
of Scientific Research & Management Studies 1 (6), 224-
233, 2014||L. Atanassov, L. Antonov. A comparative analysis
of case based reasoning software frameworks jColibri
and myCBR. Journal of the University of Chemical
Technology and Metallurgy, 47, 1, 2012, 83-90","Gonnet, Silvio","http://creativecommons.org/licenses/by-nc-sa/4.0/","Atribución-NoComercial-CompartirIgual 4.0 Internacional","Uso de la obra a partir de su aprobación/presentación","info:eu-repo/semantics/openAccess",,,"framework||aplicaciones empresariales||objetos",,"Un framework extensible para la integración de razonamiento basado en casos con aplicaciones empresariales orientadas a objetos.","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"1993","20.500.12272/538",,,,,,,,,,"Gonnet, Silvio||De Federico, Sara||Avogradini, Mariela||Melfi, Luciana",,,"2017",,,"Las empresas desarrolladoras de software agregan
nuevas funcionalidades a sus productos a pedido de sus
clientes. La decisión de elección de qué nuevos
requerimientos serán implementados es un proceso
delicado y crítico cuando el producto tiene una posición
consolidada en el mercado y el número de solicitudes es
alto. Usualmente este proceso es llevado a cabo por los
CEOs de las empresas desarrolladoras de software,
quienes deben tener en cuenta las reglas de negocio y
múltiples factores que influyen tanto en el producto como
en la empresa y los otros clientes. A partir de un
relevamiento de las necesidades de las empresas
desarrolladoras de software de la ciudad de Rosario, se
identificó que muchos de estos factores se refieren al
cliente solicitante, tales como su nivel financiero, su peso
en el mercado, y su historia en la empresa. A partir de este
relevamiento se propuso, una metodología de priorización
que enfatiza la valoración del cliente desde todas las áreas
de la organización. A partir de esta valoración se obtiene
una calificación integral del cliente, la cual se relaciona
a los requerimientos que éste solicite para realizar luego
una priorización de las solicitudes de nuevas
funcionalidades. El rol de esta calificación es tan fuerte
en la priorización, que es necesario comprobar la
fiabilidad de los métodos de valoración que se utilizan
para obtenerla. Este trabajo muestra el estudio realizado
para afirmar la fiabilidad del Método de Valoración
citado",,"Fil: Gonnet, Silvio. Universidad Tecnológica Nacional. Facultad Regional Santa Fe. INGAR. Argentina||Fil: De Federico, Sara. Universidad Tecnológica Nacional. Facultad Regional Santa Fe. Argentina||Fil: Avogradini, Mariela.  Universidad Tecnológica Nacional. Facultad Regional Santa Fe. Argentina||Fil: Melfi, Luciana. Universidad Tecnológica Nacional. Facultad Regional Santa Fe. Argentina",,"Peer Reviewed","Departamento Ingeniería en Sistemas de Información, Universidad Tecnológica Nacional.Facultad Regional Rosario. Santa Fe, Argentina
INGAR Instituto de Desarrollo y Diseño, Conicet, UTN, Avellaneda 3657, S3002GJC Santa Fe, Argentina.","application/pdf",,,"""Estudio de Fiabilidad de un Método de Valoración de Clientes para la Priorización de Nuevos Requerimientos"". Congreso Nacional De Ingeniería Informática  - Ingeniería En Sistemas",,,,,,,"http://hdl.handle.net/20.500.12272/3046",,,"spa",,"CONAIISI",,,,,"Un modelo de soporte a la evolución de líneas de productos de software. Código: UTI3804TC",,,"Gonnet, Silvio","http://creativecommons.org/licenses/by-nc-sa/4.0/","Atribución-NoComercial-CompartirIgual 4.0 Internacional","USO AUTORIZADO A PARTIR DEL MOMENTO DE PRESENTACIÓN/PRESENTACIÓN","info:eu-repo/semantics/openAccess",,,"requerimientos||fiabilidad||método||clientes",,"Estudio de fiabilidad de un método de valoración de clientes para la priorización de nuevos requerimientos","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"2088","20.500.12272/538",,,,,,,,,,,"Vega, Jorge Ruben||Godoy, José Luis||Marchetti, Jacinto||Zumoffen, David",,,"2013",,"The kernel partial least squares (KPLS) method was originally focused on soft-sensor calibration for predicting
online quality attributes. In this work, an analysis of the KPLS-based modeling technique and its
application to nonlinear process monitoring are presented. To this effect, the measurement decomposition,
the development of new specific statistics acting on non-overlapped domains, and the contribution analysis
are addressed for purposes of fault detection, diagnosis, and prediction risk assessment. Some practical insights
for synthesizing the models are also given, which are related to an appropriate order selection and the
adoption of the kernel function parameter. A proper combination of scaled statistics allows the definition of
an efficient detection index for monitoring a nonlinear process. The effectiveness of the proposed methods
is confirmed by using simulation examples.
Keywords: KPLS Modeling, Fault Detection, Fault Diagnosis, Prediction Risk Assessment, Nonlinear
Processes.",,"Fil: Vega, Jorge Ruben/ Universidad Tecnològica Nacional. Argentina",,"Peer Reviewed",,"application/pdf",,,,,,,,,,,"http://hdl.handle.net/20.500.12272/3119",,"eng",,,,,,,"Técnicas numéricas de estimación y optimización: aplicaciones en problemas de nanotecnologìa y de energía eléctrica,",,,,"http://creativecommons.org/licenses/by-nc-sa/4.0/","Atribución-NoComercial-CompartirIgual 4.0 Internacional","Condiciones de Uso libre desde su aprobación / aprobación","info:eu-repo/semantics/openAccess",,,"nonlinear||process monitoring||Kernel Partial",,"new contributions to non linear process monitoring through kernel partial least squares","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"2089","20.500.12272/538",,,,,,,,,,"Vega, Jorge Ruben||Clementi, Luis Alberto",,,"2015",,,"In this paper particle Swarm Optimization (PSO) algorithms are applied to estimate the particle size distribution (PSD) of a colloidal system from the average PSD diameters, which are measured by multi-angle dynamic light scattering. The system is considered a nonlinear inverse problem, and for this reason the estimation procedure requires a Tikhonov regularization method. The inverse problem is solved through several PSO strategies. The evaluated PSOs are tested through three simulated examples corresponding to polysty-rene (PS) latexes with different PSDs, and two experimental examples obtained by simply mixing 2 PS standards. In general, the evalu-ation results of the PSOs are excellent; and particularly, the PSO with the Trelea’s parameter set shows a better performance than other implemented PSOs.",,"Fil: Vega, Jorge Ruben. Universidad Tecnológica Nacional. Argentina||Fil: Clementi, Luis Alberto. Universidad Tecnológica Nacional. Argentina",,"Peer Reviewed",,"application/pdf",,,,,,,,,,"http://hdl.handle.net/20.500.12272/3120",,,"eng||eng",,,,,,,"Técnicas numéricas de estimación y optimización: aplicaciones en problemas de nanotecnología y de energía eleéctrica",,,,"http://creativecommons.org/licenses/by-nc-sa/4.0/","Atribución-NoComercial-CompartirIgual 4.0 Internacional","Condiciones de Uso libre desde su aprobación","info:eu-repo/semantics/openAccess",,,"multiangle dynamic||particle swarm optimization",,"Estimation of the particle size distribution of colloids from multiangle dynamic light scattering measurements with particle swarm optimization","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
"2090","20.500.12272/538",,,,,,,,,,,"Vega, Jorge Ruben||Godoy, José Luis||Marchetti, Jacinto",,,"2013",,"A newstatisticalmonitoring technique based on partial least squares (PLS) is proposed for fault detection and di- 24
agnosis inmultivariate processes that exhibit collinearmeasurements. A typical PLS regression (PLSR)modeling 25
strategy is first extended by adding the projections of the model outputs to the latent space. Then, a PLS- 26
decomposition of the measurements into four terms that belongs to four different subspaces is derived. In 27 Q2
order to online monitor the PLS-projections in each subspace, new specific statistics with non-overlapped do- 28
mains are combined into a single index able to detect process anomalies. To reach a complete diagnosis, a further 29
decomposition of each statistic was defined as a sum of variable contributions. By adequately processing all this 30
information, the technique is able to: i) detect an anomaly through a single combined index, ii) diagnose the 31
anomaly class from the observed pattern of the four component statistics with respect to their respective confi- 32
dence intervals, and iii) identify the disturbed variables based on the analysis of themain variable contributions 33
to each of the four subspaces. The effectiveness observed in the simulated examples suggests the potential appli- 34
cation of this technique to real production systems.",,"Fil: Vega, Jorge Ruben. Universidad Tecnológica Nacional. Argentina||Fil: Godoy, Jose Luis. Universidad Tecnológica Nacional. Argentina||Fil: Marchetti, Jacinto. Universidad Tecnológica Nacional. Argentina",,"Peer Reviewed",,"application/pdf",,,,,,,,,,,"http://hdl.handle.net/20.500.12272/3121",,"eng",,,,,,,,,,,"http://creativecommons.org/licenses/by-nc-sa/4.0/","Atribución-NoComercial-CompartirIgual 4.0 Internacional","Condiciones de Uso libre desde su aprobación","info:eu-repo/semantics/openAccess",,,"multivariate processes||PLS-decomposition",,"A fault detection and diagnosis technique for multivariate processes 2 using a PLS-decomposition of the measurement space","info:ar-repo/semantics/artículo","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/article",
